,A_x,C♯_x,E_x,F_x,F♯_x,G_x,G♯_x,A_x,B_x
0,0.811738061010618,0.7621004835255875,0.7252875632168996,0.6761004001945792,0.6228033814573058,0.6876561387378765,0.7438507983821219,0.811738061010618,0.9837414897822312
1,0.7101026981601538,0.66404509696632,0.5766683701267877,0.5797239454593898,0.7035814062944409,0.7545744068590653,0.6132852920232277,0.7101026981601538,1.0
2,0.8016875365224426,0.697641868001674,0.6636153154006217,0.639449125560288,0.574113562751784,0.6182203476712446,0.6858202386395805,0.8016875365224426,1.0
3,0.7831866807548965,0.654160892666026,0.6720348801159289,0.6039268508646795,0.5894181899689036,0.6131290113533941,0.675722512255389,0.7831866807548965,0.983572320594663
4,0.8247649863796278,0.7274349261592992,0.6829576490311015,0.5804146710738631,0.6607232519661123,0.6267930731413948,0.6637262781633914,0.8247649863796278,0.9547805053848636
5,0.832443248303302,0.749692908991579,0.6282051682529173,0.6040136432831867,0.7069303883476388,0.6640182061724293,0.7172455382618765,0.832443248303302,1.0
6,0.8286636818759116,0.6834429016156237,0.7264849033706987,0.674016176432911,0.7154793287849305,0.6580560729647016,0.7404265342051836,0.8286636818759116,1.0
7,0.803360790819538,0.7669156868464907,0.6815929460813773,0.698195078877058,0.6604710698529958,0.686387313706097,0.6734754569350541,0.803360790819538,1.0
8,0.7439499156510516,0.7251076925244883,0.742512231589676,0.6867008897497384,0.7337616316380048,0.665324061725858,0.6209764450311873,0.7439499156510516,0.9929063136553072
9,0.7533313018989937,0.6734411878222396,0.6943679059694743,0.6590646199953668,0.652974989505933,0.6867758818255142,0.7228311288998523,0.7533313018989937,1.0
10,0.8471650143909896,0.7301930835344675,0.6985604928787373,0.5930644137669788,0.6598591072114617,0.6418717841603612,0.7232485713321469,0.8471650143909896,0.942019207670734
11,0.7322483492646303,0.8033366110053964,0.6560137916004155,0.5734485453843369,0.658449308738134,0.7282447390680478,0.654813872650151,0.7322483492646303,0.9688931967854414
12,0.7570191515945939,0.8003406345928695,0.7117899986778299,0.6606129037278526,0.7110646765727481,0.7353975597095119,0.7021454613226373,0.7570191515945939,0.9864279386122692
13,0.7746816212771805,0.7384798554258317,0.699171547560114,0.5527750515830597,0.6010389253021535,0.6214589627402761,0.6428105348192715,0.7746816212771805,1.0
14,0.8945428332681167,0.787738595615739,0.6771892177354272,0.6318882287686157,0.7294899865118752,0.7128473846017603,0.790470078459729,0.8945428332681167,0.9736483141706684
15,0.7258915640898508,0.7262796943482597,0.6194818189653201,0.5236862801605043,0.6206021822618843,0.642676409903843,0.658668904282309,0.7258915640898508,0.999233129713794
16,0.8278206712857434,0.8599075809773694,0.7332045318649866,0.6998079551140696,0.6833817591670678,0.6578495848391067,0.643966786533463,0.8278206712857434,0.9768286507041802
17,0.8159199307434227,0.7716389118623693,0.802629815020742,0.6006287643363711,0.6277219256469201,0.7417020766462707,0.6760067925385304,0.8159199307434227,0.9933832700394368
18,0.8149119680310893,0.7450832790954229,0.726578660783244,0.6517986135510295,0.6928612552626019,0.7005900220581359,0.7080495556828446,0.8149119680310893,0.961311531209093
19,0.7487594634189195,0.7446650251778029,0.6183367837737556,0.595297991995913,0.6299828192974571,0.5922660288821936,0.6937906329802751,0.7487594634189195,0.9896801677437064
20,0.7612359020322287,0.695794631788443,0.7008578050283489,0.632213957220404,0.7207008713363403,0.6617976469443191,0.6581225639538428,0.7612359020322287,0.9844249721301512
