,C_x,C♯_x,D_x,D♯_x,E_x,F_x,F♯_x,G_x,G♯_x,A_x,A♯_x,B_x
0,0.8002771259507994,0.7621004835255875,0.7435092842477616,0.8285197047060691,0.7252875632168996,0.6761004001945792,0.6228033814573058,0.6876561387378765,0.7438507983821219,0.811738061010618,0.901001715783361,0.9837414897822313
1,0.78890138638359,0.66404509696632,0.6010654293577266,0.6735382472015058,0.5766683701267877,0.5797239454593898,0.7035814062944409,0.7545744068590653,0.6132852920232277,0.7101026981601538,0.8635413601086604,1.0
2,0.7681000799943746,0.697641868001674,0.7900779954918705,0.8450641737659298,0.6636153154006217,0.639449125560288,0.574113562751784,0.6182203476712446,0.6858202386395805,0.8016875365224426,0.8512563897548633,1.0
3,0.7452923274749444,0.654160892666026,0.6670899306027631,0.7275415232095191,0.6720348801159289,0.6039268508646795,0.5894181899689036,0.6131290113533941,0.675722512255389,0.7831866807548965,0.8891376100646515,0.983572320594663
4,0.8144360288982536,0.7274349261592992,0.7048665920649192,0.7145150274914346,0.6829576490311015,0.5804146710738631,0.6607232519661123,0.6267930731413948,0.6637262781633914,0.8247649863796278,0.8910283322010715,0.9547805053848637
5,0.813911860890128,0.749692908991579,0.6609568944004387,0.7001304254230004,0.6282051682529173,0.6040136432831867,0.7069303883476388,0.6640182061724293,0.7172455382618765,0.832443248303302,0.8706079058327463,1.0
6,0.8033653284907144,0.6834429016156237,0.7777889325213426,0.8479793542422823,0.7264849033706987,0.674016176432911,0.7154793287849305,0.6580560729647016,0.7404265342051836,0.8286636818759116,0.9192202786991465,1.0
7,0.817796532171375,0.7669156868464907,0.6373912975825325,0.6956996455663234,0.6815929460813773,0.698195078877058,0.6604710698529958,0.686387313706097,0.6734754569350541,0.803360790819538,0.9023871439846519,1.0
8,0.7956363236677132,0.7251076925244883,0.7098656665195553,0.7521304574768578,0.742512231589676,0.6867008897497384,0.7337616316380048,0.665324061725858,0.6209764450311873,0.7439499156510516,0.8910411674067545,0.9929063136553071
9,0.7972626073646815,0.6734411878222396,0.6514488559001149,0.7220573509512459,0.6943679059694743,0.6590646199953668,0.652974989505933,0.6867758818255142,0.7228311288998523,0.7533313018989937,0.9256567419671039,1.0
10,0.758948728853948,0.7301930835344675,0.704940140948739,0.7268826169321022,0.6985604928787373,0.5930644137669788,0.6598591072114617,0.6418717841603612,0.7232485713321469,0.8471650143909896,0.9764674487292977,0.9420192076707341
11,0.8334874163974116,0.8033366110053964,0.7250300715872514,0.7242041082009365,0.6560137916004155,0.5734485453843369,0.658449308738134,0.7282447390680478,0.654813872650151,0.7322483492646303,0.9153339891165878,0.9688931967854414
12,0.8712347641892005,0.8003406345928695,0.7878181249172966,0.7811558926557454,0.7117899986778299,0.6606129037278526,0.7110646765727481,0.7353975597095119,0.7021454613226373,0.7570191515945939,0.9278672676693996,0.9864279386122692
13,0.8002569881043375,0.7384798554258317,0.6626009003791563,0.6732951012721474,0.699171547560114,0.5527750515830597,0.6010389253021535,0.6214589627402761,0.6428105348192715,0.7746816212771805,0.8791902397771745,1.0
14,0.9136734866051751,0.787738595615739,0.7508927861458069,0.8136606506966079,0.6771892177354272,0.6318882287686157,0.7294899865118752,0.7128473846017603,0.790470078459729,0.8945428332681167,0.9365853430332561,0.9736483141706685
15,0.8500320208949801,0.7262796943482597,0.636455097235528,0.6666304201911885,0.6194818189653201,0.5236862801605043,0.6206021822618843,0.642676409903843,0.658668904282309,0.7258915640898508,0.9250810872069448,0.9992331297137941
16,0.8560385266410142,0.8599075809773694,0.7448753110300984,0.7127072596648752,0.7332045318649866,0.6998079551140696,0.6833817591670678,0.6578495848391067,0.643966786533463,0.8278206712857434,0.9664549346352,0.9768286507041802
