,C_y,D_y,C_y,D_y,D♯_y,E_y,F_y,F♯_y,G♯_y,A_y,A♯_y,B_y
0,0.4701355796739177,0.5017767650694082,0.4701355796739177,0.5017767650694082,0.5064417812416068,0.441205049775816,0.5136338810372533,0.4680489978078785,0.74467030327444,0.765521860468712,0.8164767197263615,1.0
1,0.477177530134294,0.5917581334929786,0.477177530134294,0.5917581334929786,0.655692663613046,0.5513453349883897,0.5701155610030114,0.5174255967692839,0.8501126846241567,0.8761125039676583,0.8415742591494028,0.9807347672344786
2,0.558262401924411,0.692621972275464,0.558262401924411,0.692621972275464,0.6373429228756918,0.5849277908668631,0.6023669413267317,0.6408590823623294,0.8869220444349288,0.899218901371876,0.7924712417397668,0.9680869055628164
3,0.5832255985087068,0.6507132965786605,0.5832255985087068,0.6507132965786605,0.5495353835342107,0.5123777107340012,0.5662209611303183,0.6637744858649629,0.8094388865844674,0.953872577969234,0.9853988191293692,0.940033615723569
4,0.7148128617176212,0.672955507499697,0.7148128617176212,0.672955507499697,0.5563561933824895,0.5012940603492938,0.4840561389934253,0.6501260972984165,0.7026592470054558,0.9652359430913988,0.9745250082385248,0.8697752390595479
5,0.6893211517039562,0.6906411949585195,0.6893211517039562,0.6906411949585195,0.5493667871682381,0.5977412066162774,0.569742746301321,0.6185229610649933,0.7322766444789407,0.9654352005972668,0.9413753943312948,0.9733198033903284
6,0.6265363995374436,0.6758815907759846,0.6265363995374436,0.6758815907759846,0.6938937014660623,0.604491466780461,0.6320138885508094,0.5829940817018076,0.8222041821966016,0.883227934447778,0.8645302639105236,0.9744508816159276
7,0.7632309622965411,0.7462641230283898,0.7632309622965411,0.7462641230283898,0.6338843986681998,0.6139480244247754,0.5729076585168401,0.6300335013806276,0.7380460718599311,0.9642862585332084,0.8201928140889699,0.983761628792282
8,0.716536736805839,0.7445106478555891,0.716536736805839,0.7445106478555891,0.6569667771497602,0.6809545785388332,0.645672549582544,0.7858498864507039,0.9143049604128212,0.9706571842212732,0.8807929819970042,0.9483952803028708
9,0.7160036569417573,0.7003397739784459,0.7160036569417573,0.7003397739784459,0.5640290307219741,0.5396254563499782,0.5339160333103435,0.5860403579395058,0.7094434913943087,0.9386572208853342,0.8589491659998919,0.9982655898892734
10,0.6315953537504636,0.6203397715761733,0.6315953537504636,0.6203397715761733,0.6186078168218193,0.6120403506107897,0.599033136427417,0.6722708374941783,0.7377747705654084,0.9837783701534892,0.8716062029846504,0.8890756964784118
11,0.6428373879507412,0.6783929910412736,0.6428373879507412,0.6783929910412736,0.5710307254919066,0.5755075400764574,0.5063741704933962,0.5285475605639742,0.6947517331231131,0.9012132050697688,0.7641987265518905,0.9570468002396813
12,0.7503345657286933,0.6092223588346402,0.7503345657286933,0.6092223588346402,0.569047018376331,0.570618083029817,0.5800443198390915,0.5897927288481445,0.6371472282296824,0.8978839886806015,0.8517040741300135,0.9248263784124876
13,0.6845161434529325,0.6697637757305155,0.6845161434529325,0.6697637757305155,0.6370119510654392,0.5757932616418315,0.551977162090342,0.6420264890515925,0.7461265713088086,0.9080086504086288,0.8940935863646883,0.9502477452866116
14,0.7180496473632715,0.7439950288790542,0.7180496473632715,0.7439950288790542,0.5653846360388144,0.5832065333297436,0.5677314264769714,0.6539858330174999,0.7288396348749505,0.9015380368007788,0.8687969579053005,0.974234565617292
15,0.728265181982043,0.8121157150839958,0.728265181982043,0.8121157150839958,0.5531234665858228,0.6064780724582904,0.5847107371824439,0.6928153107289083,0.7132389270164564,0.9688605197936684,0.904492999748492,0.9894351826590844
16,0.6641690185023232,0.6802844865190938,0.6641690185023232,0.6802844865190938,0.5552081356780836,0.6543420307405364,0.5820837680633107,0.5821061142915087,0.6816240044035061,0.8787685253155336,0.8681953295675683,0.9796831819033032
17,0.5996646686337694,0.7203465126506688,0.5996646686337694,0.7203465126506688,0.7454923108176527,0.6459808083962267,0.6555968466836403,0.5608126889825648,0.7987851898378658,0.8279624919715007,0.8168739588327858,1.0
18,0.5735002184125185,0.7708867465746021,0.5735002184125185,0.7708867465746021,0.6906082167698893,0.6477057397579044,0.6344900043888578,0.6449828092807316,0.6773050388172536,0.884380010313329,0.9493802684660656,0.9068301537586314
19,0.8080375712849,0.7050869849663858,0.8080375712849,0.7050869849663858,0.735419514000624,0.6098399410287217,0.6724480120260689,0.6518730779934929,0.6727217023712858,0.9134112377411896,0.938064884451278,0.9084752770393252
20,0.7555736135105539,0.7264149777463541,0.7555736135105539,0.7264149777463541,0.6360024784262616,0.7074759433504955,0.6325744343031244,0.733297695561347,0.7337437636687881,0.9298725863723296,0.8723436062261767,0.9800055316881588
21,0.7500273204219746,0.8179800502646691,0.7500273204219746,0.8179800502646691,0.557362166387023,0.7015360255705695,0.5880403920309939,0.6492636479648003,0.6924629660833772,0.9555970683520691,0.8391548300416184,0.9319630537294398
22,0.5235992944522315,0.801285998734342,0.5235992944522315,0.801285998734342,0.7751719325562737,0.6872171602212322,0.6463135110534423,0.5766227202386367,0.7280950425727734,0.9123237797714108,0.8751477562198599,0.9593668865954
23,0.6366880040575044,0.7443307335867674,0.6366880040575044,0.7443307335867674,0.6954748588858394,0.6854905457208856,0.6276464459625423,0.6369448503706013,0.8118364080288863,0.8381394249345365,0.7757870207501293,1.0
24,0.7229489249547396,0.8153107062976619,0.7229489249547396,0.8153107062976619,0.6241586070672188,0.5845392181815837,0.553339802364241,0.6315360720190016,0.5440690823269736,0.9274501665802236,0.9774526974736534,0.80699064712362
25,0.6129150371608558,0.7707480591219088,0.6129150371608558,0.7707480591219088,0.6010383859374228,0.5496756613424921,0.5129631055856773,0.591724962151158,0.7303526156585133,0.9064706358396908,0.9622197239320672,0.9418418760983686
26,0.5961376049709957,0.7372130088421974,0.5961376049709957,0.7372130088421974,0.6723607670850206,0.6169451540960076,0.5669499606542963,0.6265002952813786,0.7467570695411444,0.9409345173151386,0.8671184273842255,0.9763415444444606
27,0.5887845018367702,0.724769509653401,0.5887845018367702,0.724769509653401,0.7161330773512339,0.5287342124189657,0.5415660734160818,0.5609837112534503,0.8277990725700509,0.840819297508843,0.8367680728577754,0.9898035284856168
28,0.6130046929074058,0.7187401642913106,0.6130046929074058,0.7187401642913106,0.7000427085321062,0.5917313269718817,0.739062725191456,0.6443078644235488,0.8102736386185251,0.8310563960995522,0.8786297118925472,1.0
29,0.7441651164370802,0.6601358039329387,0.7441651164370802,0.6601358039329387,0.6496786886376231,0.5053140564365781,0.5441907901398554,0.6719351166764801,0.5838366091143629,0.82742127637145,0.9767296144259148,0.9032789868571864
30,0.6397742232227549,0.7681213356220594,0.6397742232227549,0.7681213356220594,0.7718691259387431,0.647033107529604,0.6441577635760841,0.6365534515574383,0.8825559990542038,0.9032594706392634,0.8904859544271261,0.9947525713278936
31,0.6591461207782259,0.810372800950805,0.6591461207782259,0.810372800950805,0.6491274539862742,0.6227694846287468,0.6469431212816037,0.6387779671099764,0.7304224110796144,0.9365545033834394,0.9226324366336732,0.9327280438415384
32,0.6306691007897984,0.7584920028434249,0.6306691007897984,0.7584920028434249,0.665093166716148,0.6878369380757414,0.6307730493275207,0.5599994508789491,0.6226233010073497,0.821978408777158,0.8741416057281928,1.0
33,0.708038384195449,0.7883000129473162,0.708038384195449,0.7883000129473162,0.6806380738988268,0.6444485338008021,0.6350536182758758,0.6403539653346892,0.664821286318563,0.7883823440166688,0.8487979788823589,1.0
34,0.594452488533038,0.7424155493321778,0.594452488533038,0.7424155493321778,0.6923157162005102,0.545006364841267,0.6236449499897455,0.5826653904338288,0.7124481340234324,0.8871595827735231,0.8918214035074513,0.9610270817611688
35,0.7346908246460006,0.6643780884876146,0.7346908246460006,0.6643780884876146,0.6020112128281396,0.6053727778463452,0.5742322552690108,0.6967631347454019,0.6283995059385293,0.9246834120976838,0.9822520226441476,0.9290949071698992
36,0.5994496958023235,0.7020452030174895,0.5994496958023235,0.7020452030174895,0.6745587207771204,0.6116847366404963,0.574295915281334,0.5901567009901545,0.7556954580433892,0.8792186416485389,0.8823004628802372,0.9858350514014772
37,0.6251185535571572,0.826004164595162,0.6251185535571572,0.826004164595162,0.6951038922355326,0.6726685209053752,0.6631719568748666,0.5982005991589378,0.6555124363379037,0.8232581310817402,0.8586429769068981,0.988383386797864
38,0.6651586518191684,0.901129400348754,0.6651586518191684,0.901129400348754,0.6743532978518112,0.5879836900692915,0.554714409240181,0.6431622179041624,0.733594404358863,0.953592599630632,0.8700318263608655,0.9417959431663436
39,0.6688435082735599,0.8183123240391109,0.6688435082735599,0.8183123240391109,0.5853041903458253,0.4845825755384051,0.4390799144804072,0.5822596784372064,0.6399723441596609,0.9216898920268504,0.951651740377927,0.895551893198359
