,C_x,C_y,C_z,C♯_x,C♯_y,C♯_z,D_x,D_y,D_z,D♯_x,D♯_y,D♯_z,E_x,E_y,E_z,F_x,F_y,F_z,F♯_x,F♯_y,F♯_z,G_x,G_y,G_z,G♯_x,G♯_y,G♯_z,A_x,A_y,A_z,A♯_x,A♯_y,A♯_z,B_x,B_y,B_z
0,0.8002771259507994,0.7621004835255875,0.7435092842477616,0.8285197047060691,0.7252875632168996,0.6761004001945792,0.6228033814573058,0.6876561387378765,0.7438507983821219,0.811738061010618,0.901001715783361,0.4701355796739177,0.5240014994131704,0.5017767650694082,0.5064417812416068,0.441205049775816,0.5136338810372533,0.46804899780787856,0.5137460371378617,0.74467030327444,0.765521860468712,0.8164767197263615,0.7502001076382411,0.7423047690714126,0.6336297006472391,0.6228672830030559,0.5648797729143942,0.5447850536516223,0.4826415910361405,0.4689543552644792,0.5325276069326224,0.7415802482267506,0.8552709106106936,0.9837414897822313,1.0,1.0
1,0.78890138638359,0.66404509696632,0.6010654293577266,0.6735382472015058,0.5766683701267877,0.5797239454593898,0.7035814062944409,0.7545744068590653,0.6132852920232277,0.7101026981601538,0.8635413601086604,0.47717753013429404,0.5676114557803498,0.5917581334929786,0.655692663613046,0.5513453349883897,0.5701155610030114,0.5174255967692839,0.5433576891218317,0.8501126846241567,0.8761125039676583,0.8415742591494028,0.8531885929428499,0.8558427357802488,0.8445484680411287,0.8674382534136305,0.7528470668424796,0.6016791944476932,0.5596075624317635,0.5188998543612523,0.5830902893549195,0.7684026171361086,0.9384810391207505,1.0,0.9807347672344786,0.9815222463289156
2,0.7681000799943746,0.697641868001674,0.7900779954918705,0.8450641737659298,0.6636153154006217,0.639449125560288,0.574113562751784,0.6182203476712446,0.6858202386395805,0.8016875365224426,0.8512563897548633,0.558262401924411,0.5370399038136956,0.692621972275464,0.6373429228756918,0.5849277908668631,0.6023669413267317,0.6408590823623294,0.7450812055732431,0.8869220444349288,0.899218901371876,0.7924712417397668,0.8497838223741678,0.7510477496067537,0.7108307037897065,0.5915876249530458,0.5327344593742216,0.5243998036969347,0.47639742829037096,0.44813241015498245,0.4935877476428325,0.6817534517581114,0.913051145440118,1.0,0.9680869055628163,1.0
3,0.7452923274749444,0.654160892666026,0.6670899306027631,0.7275415232095191,0.6720348801159289,0.6039268508646795,0.5894181899689036,0.6131290113533941,0.675722512255389,0.7831866807548965,0.8891376100646515,0.5832255985087068,0.5201405006714699,0.6507132965786605,0.5495353835342107,0.5123777107340012,0.5662209611303183,0.6637744858649629,0.6071557427868134,0.8094388865844674,0.9538725779692339,0.9853988191293693,0.747486494554869,0.6883250956222932,0.676742154249279,0.5872785351783097,0.5435664210013725,0.5358612175165635,0.47617070503209574,0.48502622625329755,0.5600949050275569,0.7141233534335969,0.8486339746022091,0.983572320594663,0.940033615723569,1.0
4,0.8144360288982536,0.7274349261592992,0.7048665920649192,0.7145150274914346,0.6829576490311015,0.5804146710738631,0.6607232519661123,0.6267930731413948,0.6637262781633914,0.8247649863796278,0.8910283322010715,0.7148128617176212,0.4528056053061095,0.672955507499697,0.5563561933824895,0.5012940603492938,0.4840561389934253,0.6501260972984165,0.6558244443895597,0.7026592470054558,0.9652359430913987,0.9745250082385247,0.8019789984293552,0.8796931387502028,0.7177157807258858,0.6166567520129148,0.5309581656299539,0.40594092360381134,0.45404067026611905,0.4544066131681927,0.5289250111711794,0.7658738092350116,0.8377744914532981,0.9547805053848637,0.8697752390595479,0.9992759277748121
5,0.813911860890128,0.749692908991579,0.6609568944004387,0.7001304254230004,0.6282051682529173,0.6040136432831867,0.7069303883476388,0.6640182061724293,0.7172455382618765,0.832443248303302,0.8706079058327463,0.6893211517039562,0.4162090720761887,0.6906411949585195,0.5493667871682381,0.5977412066162774,0.569742746301321,0.6185229610649933,0.5931372993209848,0.7322766444789407,0.9654352005972667,0.9413753943312947,0.859060581833933,0.8474578191769702,0.7934954740051304,0.7010178019440437,0.6684528045376297,0.5113520902369442,0.5065121903434336,0.524321757001447,0.6320657252038346,0.7902202584171848,0.901893363739204,1.0,0.9733198033903284,1.0
6,0.8033653284907144,0.6834429016156237,0.7777889325213426,0.8479793542422823,0.7264849033706987,0.674016176432911,0.7154793287849305,0.6580560729647016,0.7404265342051836,0.8286636818759116,0.9192202786991465,0.6265363995374436,0.4850366974720621,0.6758815907759846,0.6938937014660623,0.604491466780461,0.6320138885508094,0.5829940817018076,0.6086199731154877,0.8222041821966016,0.883227934447778,0.8645302639105236,0.7753891445523378,0.8280150194946353,0.7539713689741623,0.6140482417696022,0.5484651183094056,0.47844774834852927,0.5464050507241885,0.4832895807845938,0.5619073169302378,0.7646544430104752,0.9041689532612628,1.0,0.9744508816159275,0.9769582183569184
7,0.817796532171375,0.7669156868464907,0.6373912975825325,0.6956996455663234,0.6815929460813773,0.698195078877058,0.6604710698529958,0.686387313706097,0.6734754569350541,0.803360790819538,0.9023871439846519,0.7632309622965411,0.5123658599311992,0.7462641230283898,0.6338843986681998,0.6139480244247754,0.5729076585168401,0.6300335013806276,0.6523244479672591,0.7380460718599311,0.9642862585332083,0.8201928140889699,0.9115282846541389,0.9544095622859851,0.7814236028741459,0.6977299305785296,0.6430404851120852,0.5285270249518288,0.5182421471463713,0.5036100908887856,0.5765469050983792,0.7454236933258591,0.8484811784552099,1.0,0.9837616287922821,0.9590691460073585
8,0.7956363236677132,0.7251076925244883,0.7098656665195553,0.7521304574768578,0.742512231589676,0.6867008897497384,0.7337616316380048,0.665324061725858,0.6209764450311873,0.7439499156510516,0.8910411674067545,0.716536736805839,0.6133039484648873,0.7445106478555891,0.6569667771497602,0.6809545785388332,0.645672549582544,0.7858498864507039,0.8835827463921753,0.9143049604128213,0.9706571842212733,0.8807929819970042,0.8782133802175638,0.8831576552099003,0.8031634190237661,0.648444888255902,0.6359194862059018,0.4772934622628115,0.4701371212787338,0.42582438849921905,0.5249754124395559,0.7280023742679265,0.8805274629421925,0.9929063136553071,0.9483952803028707,0.8981389665362457
9,0.7972626073646815,0.6734411878222396,0.6514488559001149,0.7220573509512459,0.6943679059694743,0.6590646199953668,0.652974989505933,0.6867758818255142,0.7228311288998523,0.7533313018989937,0.9256567419671039,0.7160036569417573,0.47251814578722895,0.7003397739784459,0.5640290307219741,0.5396254563499782,0.5339160333103435,0.5860403579395058,0.5885861902306377,0.7094434913943087,0.9386572208853342,0.8589491659998919,0.7944225148663109,0.8759214989177907,0.8286318459326738,0.6924887554600634,0.6414286247754957,0.5102529891340841,0.546758866894659,0.4808496081518013,0.5651421477121555,0.7516086162809134,0.8936996333443757,1.0,0.9982655898892734,0.9947819887813276
